****************************
* Welcome to ROOT v6.02/05 *
****************************
loading libFWCoreFWLite.so

Processing doRunLumis.C...
250985 10
250985 11
250985 12
250985 13
250985 14
250985 15
250985 16
250985 17
250985 18
250985 19
250985 20
250985 21
250985 22
250985 23
250985 24
250985 25
250985 26
250985 27
250985 28
250985 29
250985 30
250985 31
250985 32
250985 33
250985 34
250985 35
250985 36
250985 37
250985 38
250985 2
250985 3
250985 4
250985 5
250985 6
250985 7
250985 8
250985 9
250985 1
250987 9
250987 20
250987 21
250987 22
250987 23
250987 24
250987 25
250987 26
250987 27
250987 28
250987 29
250987 30
250987 31
250987 32
250987 33
250987 34
250987 1
250987 2
250987 3
250987 4
250987 5
250987 6
250987 7
250987 8
250987 10
250987 11
250987 12
250987 13
250987 14
250987 15
250987 16
250987 17
250987 18
250987 19
251002 31
251002 32
251002 33
251002 34
251002 35
251002 36
251002 37
251002 38
251002 39
251002 40
251002 41
251002 42
251002 43
251002 44
251002 45
251002 46
251002 47
251002 48
251002 49
251002 50
251002 51
251002 1
251002 2
251002 3
251002 4
251002 5
251002 6
251002 7
251002 8
251002 9
251002 10
251002 11
251002 12
251002 13
251002 14
251002 15
251002 52
251002 53
251002 54
251002 55
251002 56
251002 57
251002 58
251002 59
251002 60
251002 61
251002 62
251002 63
251002 64
251002 65
251002 66
251002 90
251002 91
251002 92
251002 93
251002 94
251002 95
251002 96
251002 97
251002 98
251002 99
251002 100
251002 82
251002 83
251002 84
251002 85
251002 86
251002 87
251002 88
251002 89
251002 67
251002 68
251002 69
251002 70
251002 71
251002 72
251002 73
251002 74
251002 75
251002 76
251002 77
251002 78
251002 79
251002 80
251002 81
251002 101
251002 102
251002 103
251002 104
251002 105
251002 106
251003 54
251003 55
251003 56
251003 57
251003 14
251003 1
251003 2
251003 3
251003 4
251003 5
251003 6
251003 7
251003 8
251003 9
251003 10
251003 11
251003 12
251003 13
251003 39
251003 40
251003 41
251003 42
251003 43
251003 44
251003 45
251003 46
251003 47
251003 48
251003 49
251003 50
251003 51
251003 52
251003 53
251003 29
251003 30
251003 31
251003 32
251003 33
251003 34
251003 35
251003 36
251003 37
251003 38
251003 58
251003 59
251003 60
251003 15
251003 16
251003 17
251003 18
251003 19
251003 20
251003 21
251003 22
251003 23
251003 24
251003 25
251003 26
251003 27
251003 28
251004 1
251004 2
251004 3
251004 4
251004 5
251004 6
251004 37
251004 38
251004 39
251004 40
251004 41
251004 42
251004 22
251004 23
251004 24
251004 25
251004 26
251004 27
251004 28
251004 29
251004 30
251004 31
251004 32
251004 33
251004 34
251004 35
251004 36
251004 71
251004 72
251004 73
251004 43
251004 44
251004 45
251004 46
251004 47
251004 48
251004 49
251004 50
251004 51
251004 52
251004 53
251004 54
251004 55
251004 7
251004 8
251004 9
251004 10
251004 11
251004 12
251004 13
251004 14
251004 15
251004 16
251004 17
251004 18
251004 19
251004 20
251004 21
251004 56
251004 57
251004 58
251004 59
251004 60
251004 61
251004 62
251004 63
251004 64
251004 65
251004 66
251004 67
251004 68
251004 69
251004 70
251008 1
251008 2
251008 3
251008 4
251008 5
251008 6
251008 7
251008 8
251008 9
251008 10
251008 11
251008 12
251008 13
251008 14
251008 15
251008 34
251008 35
251008 36
251008 37
251008 38
251008 39
251008 40
251008 41
251008 42
251008 43
251008 44
251008 45
251008 46
251008 47
251008 48
251008 49
251008 16
251008 17
251008 19
