****************************
* Welcome to ROOT v6.02/05 *
****************************
loading libFWCoreFWLite.so

Processing doRunLumis.C...
Warning in <TClassTable::Add>: class TBits already in TClassTable
251168 165
251168 145
251168 182
251168 247
251168 254
251168 51
251168 175
251168 35
251168 194
251168 198
251168 203
251168 146
251168 202
251168 200
251168 178
251168 256
251168 224
251168 164
251168 137
251168 167
251168 155
251168 179
251168 120
251168 84
251168 136
251168 221
251168 242
251168 335
251168 306
251168 334
251168 168
251168 205
251168 160
251168 259
251168 303
251168 341
251168 293
251168 309
251168 29
251168 301
251168 295
251168 339
251168 244
251168 138
251168 333
251168 152
251168 262
251168 314
251168 127
251168 300
251168 173
251168 319
251168 337
251168 275
251168 279
251168 267
251168 285
251168 232
251168 302
251168 342
251168 343
251168 344
251168 345
251168 346
251168 347
251168 286
251168 284
251168 283
251168 238
251168 304
251168 273
251168 236
251168 268
251168 281
251168 58
251168 272
251168 332
251168 213
251168 322
251168 287
251168 278
251168 219
251168 207
251168 246
251168 315
251168 330
251168 310
251168 328
251168 276
251168 215
251168 36
251168 251
251168 255
251168 305
251168 338
251168 269
251168 325
251168 282
251168 231
251168 298
251168 99
251168 318
251168 297
251168 336
251168 277
251168 250
251168 288
251168 289
251168 184
251168 216
251168 234
251168 321
251168 217
251168 317
251168 245
251168 274
251168 237
251168 239
251168 296
251168 327
251168 228
251168 225
251168 223
251168 266
251168 230
251168 218
251168 240
251168 171
251168 340
251168 18
251168 313
251168 331
251168 243
251168 195
251168 212
251168 312
251168 264
251168 329
251168 66
251168 270
251168 265
251168 181
251168 126
251027 1
251027 2
251027 3
251027 4
251027 5
251027 6
251027 39
251027 40
251027 41
251027 42
251027 53
251027 54
251027 55
251027 56
251027 57
251027 24
251027 25
251027 26
251027 27
251027 28
251027 29
251027 118
251027 119
251027 120
251027 121
251027 122
251027 43
251027 123
251027 124
251027 125
251027 44
251027 45
251027 46
251027 47
251027 48
251027 49
251027 50
251027 51
251027 52
251027 90
251027 91
251027 92
251027 93
251027 94
251027 95
251027 96
251027 97
251027 98
251027 99
251027 81
251027 82
251027 83
251027 84
251027 85
251027 86
251027 87
251027 88
251027 89
251027 73
251027 74
251027 75
251027 76
251027 77
251027 78
251027 79
251027 80
251027 58
251027 59
251027 60
251027 61
251027 7
251027 8
251027 9
251027 10
251027 11
251027 12
251027 13
251027 14
251027 15
251027 16
251027 17
251027 18
251027 19
251027 20
251027 21
251027 22
251027 23
251027 107
251027 62
251028 53
251028 54
251028 55
251028 26
251028 27
251028 30
251028 31
251028 32
251028 33
251028 34
251028 35
251028 7
251028 2
251028 3
251028 38
251028 39
251028 40
251028 41
251028 42
251028 43
251028 44
251028 45
251028 46
251028 47
251028 48
251028 49
251028 50
251028 51
251028 52
251028 23
251028 24
251028 14
251028 37
251028 15
251028 36
251028 22
251028 4
251028 25
251028 74
251028 75
251028 76
251028 77
251028 78
251028 79
251027 100
251027 101
251027 102
251027 103
251027 104
251027 105
251027 106
251027 30
251027 31
251027 32
251027 33
251027 34
251027 35
251027 36
251027 37
251027 38
251027 63
251027 64
251027 65
251027 66
251027 67
251027 68
251027 69
251027 70
251027 71
251027 72
251027 108
251027 109
251027 110
251027 111
251027 112
251027 113
251027 114
251027 115
251027 116
251027 117
251028 5
251028 6
251028 8
251028 9
251028 10
251028 11
251028 28
251028 29
251028 12
251028 13
251028 59
251028 60
251028 61
